PriceChangeStep,Price_chocolate,MarketTrade_chocolate,Price_nut,MarketTrade_nut,Price_candy,MarketTrade_candy,Satisfaction_Person 1,candy savings_Person 1,chocolate savings_Person 1,chocolate consumption_Person 1,candy consumption_Person 1,nut savings_Person 1,nut consumption_Person 1,chocolate_Person 1,nut_Person 1,candy_Person 1,Satisfaction_Person 2,candy savings_Person 2,chocolate savings_Person 2,chocolate consumption_Person 2,candy consumption_Person 2,nut savings_Person 2,nut consumption_Person 2,chocolate_Person 2,nut_Person 2,candy_Person 2,Satisfaction_Person 3,candy savings_Person 3,chocolate savings_Person 3,chocolate consumption_Person 3,candy consumption_Person 3,nut savings_Person 3,nut consumption_Person 3,chocolate_Person 3,nut_Person 3,candy_Person 3,
0.0125,1,-0.6,0.860809,0.623835,1.00548,0.0045701,11.9238,0.201523,0,0.8,0.8,0.947528,0.260417,-0.2,0.207945,0.00152337,11.9238,0.201523,0,0.8,0.8,0.947528,0.260417,-0.2,0.207945,0.00152337,11.9238,0.201523,0,0.8,0.8,0.947528,0.260417,-0.2,0.207945,0.00152337,
0.0125,1,0,0.850049,-0.073184,1.00627,0.0045701,11.932,0.201523,0.2,0.8,0.8,0.715189,0.260417,0,-0.0243947,0.00152337,11.932,0.201523,0.2,0.8,0.8,0.715189,0.260417,0,-0.0243947,0.00152337,11.932,0.201523,0.2,0.8,0.8,0.715189,0.260417,0,-0.0243947,0.00152337,
0.0125,1,0,0.860674,0.632658,0.994502,-0.591694,11.9369,0.00276869,0.2,0.8,0.8,0.950469,0.260417,0,0.210886,-0.197231,11.9369,0.00276869,0.2,0.8,0.8,0.950469,0.260417,0,0.210886,-0.197231,11.9369,0.00276869,0.2,0.8,0.8,0.950469,0.260417,0,0.210886,-0.197231,
0.0125,1,0,0.849916,-0.0644699,0.996743,0.0116233,11.9487,0.203874,0.2,0.8,0.8,0.718093,0.260417,0,-0.02149,0.00387442,11.9487,0.203874,0.2,0.8,0.8,0.718093,0.260417,0,-0.02149,0.00387442,11.9487,0.203874,0.2,0.8,0.8,0.718093,0.260417,0,-0.02149,0.00387442,
0.00625,1,0,0.844604,-0.0644699,0.997866,0.0116233,11.9487,0.203874,0.2,0.8,0.8,0.718093,0.260417,0,-0.02149,0.00387442,11.9487,0.203874,0.2,0.8,0.8,0.718093,0.260417,0,-0.02149,0.00387442,11.9487,0.203874,0.2,0.8,0.8,0.718093,0.260417,0,-0.02149,0.00387442,
0.00625,1,-0.6,0.849883,0.645922,1.00093,0.0116233,11.9529,0.203874,0,0.8,0.8,0.954891,0.260417,-0.2,0.215307,0.00387442,11.9529,0.203874,0,0.8,0.8,0.954891,0.260417,-0.2,0.215307,0.00387442,11.9529,0.203874,0,0.8,0.8,0.954891,0.260417,-0.2,0.215307,0.00387442,
0.00625,1,0,0.855195,0.645922,0.995235,-0.587821,11.9542,0.00405979,0.2,0.8,0.8,0.954891,0.260417,0,0.215307,-0.19594,11.9542,0.00405979,0.2,0.8,0.8,0.954891,0.260417,0,0.215307,-0.19594,11.9542,0.00405979,0.2,0.8,0.8,0.954891,0.260417,0,0.215307,-0.19594,
0.00625,1,0,0.84985,-0.0556726,0.996916,0.0150523,11.9614,0.205017,0.2,0.8,0.8,0.721026,0.260417,0,-0.0185575,0.00501743,11.9614,0.205017,0.2,0.8,0.8,0.721026,0.260417,0,-0.0185575,0.00501743,11.9614,0.205017,0.2,0.8,0.8,0.721026,0.260417,0,-0.0185575,0.00501743,
0.00625,1,0,0.844538,-0.0556726,0.998601,0.0150523,11.9614,0.205017,0.2,0.8,0.8,0.721026,0.260417,0,-0.0185575,0.00501743,11.9614,0.205017,0.2,0.8,0.8,0.721026,0.260417,0,-0.0185575,0.00501743,11.9614,0.205017,0.2,0.8,0.8,0.721026,0.260417,0,-0.0185575,0.00501743,
0.00625,1,-0.6,0.849816,0.654775,1.00166,0.0150523,11.9652,0.205017,0,0.8,0.8,0.957842,0.260417,-0.2,0.218258,0.00501743,11.9652,0.205017,0,0.8,0.8,0.957842,0.260417,-0.2,0.218258,0.00501743,11.9652,0.205017,0,0.8,0.8,0.957842,0.260417,-0.2,0.218258,0.00501743,
